date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:40:09	55128/55128	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-d758%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/accordions.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/accordions.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:09	55726/55726	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-d9ae%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/buttons.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/buttons.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:09	41619/41619	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-a293%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/badges.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/badges.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:10	41665/41665	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-a2c1%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/breadcrumbs.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/breadcrumbs.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:10	63828/63828	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-f954%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/dropdowns.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/dropdowns.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:10	41523/41523	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-a233%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/modals.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/modals.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:10	44218/44218	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-acba%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/progress.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/progress.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:10	39650/39650	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-9ae2%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/pagination.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/pagination.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:11	58541/58541	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-e4ad%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/tabs.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/tabs.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:11	49787/49787	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-c27b%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/typography.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/typography.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:11	38624/38624	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-96e0%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/tooltips.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/tooltips.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:11	50906/50906	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-c6da%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/dragula.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/dragula.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:12	33859/33859	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-8443%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/clipboard.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/clipboard.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
